X,Y,Z,S,R,G,B
43.043,0.0028527,-15.241,5.9722,1,0.84314,0.68235
258.02,0.22656,316.26,0.54583,1,0.84314,0.68235
17.911,0.054319,33.937,4.1299,1,0.95686,0.9098
87.725,0.31709,65.58,3.0624,1,0.95686,0.9098
269.54,1.1671,346,0.63967,1,0.73333,0.48235
30.478,0.1857,20.777,8.4456,1,0.73333,0.48235
15.155,0.10564,-65.987,0.6269,1,0.84314,0.68235
228.31,1.9079,63.44,1.2766,0.98431,0.97255,1
349.56,3.1267,233.1,0.86288,1,0.84314,0.68235
186.94,1.8054,183.25,1.7703,1,0.84314,0.68235
130.83,1.3717,20.621,0.71973,0.75294,0.81961,1
188.35,2.0799,51.653,2.4863,0.75294,0.81961,1
261.43,3.0534,142.2,0.8017,0.75294,0.81961,1
219.49,2.9073,184.16,0.61413,0.98431,0.97255,1
151.81,2.1339,48.022,0.5798,1,0.84314,0.68235
134.6,2.088,122.71,1.5979,1,0.84314,0.68235
45.974,0.74932,-92.628,3.3671,0.98431,0.97255,1
125.6,2.1652,94.56,2.4573,0.98431,0.97255,1
104.78,1.9072,124.32,1.3244,1,0.84314,0.68235
48.246,0.90434,-46.58,3.9774,0.98431,0.97255,1
100.35,1.9718,-12.262,3.406,1,0.95686,0.9098
23.514,0.50636,10.114,5.7787,1,0.95686,0.9098
116.04,2.5416,60.872,0.88262,1,0.95686,0.9098
6.0377,0.13959,-14.822,7.4687,1,0.84314,0.68235
25.914,0.6189,-47.201,5.1641,1,0.95686,0.9098
8.188,0.20266,8.4261,7.8496,1,0.84314,0.68235
27.815,0.7185,-71.778,4.558,0.98431,0.97255,1
10.613,0.28993,17.283,4.4442,1,0.95686,0.9098
141.23,3.9548,-46.011,1.4501,0.98431,0.97255,1
138.98,4.0445,385.53,0.19695,1,0.84314,0.68235
18.158,0.56286,226.03,1.4222,0.75294,0.81961,1
264.37,8.3555,99.186,0.73502,1,0.84314,0.68235
136.16,4.3905,-27.997,2.5236,0.75294,0.81961,1
81.036,2.7148,65.74,2.9168,0.98431,0.97255,1
178.7,6.174,-222.85,0.93034,1,0.84314,0.68235
60.419,2.1302,82.592,3.0995,0.98431,0.97255,1
219.64,7.9409,151.02,1.6802,0.75294,0.81961,1
120.03,4.4332,-53.715,1.9941,0.98431,0.97255,1
26.502,1.0046,19.716,3.6143,0.98431,0.97255,1
83.66,3.2867,99.279,2.4625,0.75294,0.81961,1
212.79,8.4601,-259.34,0.58108,1,0.84314,0.68235
60.557,2.472,-32.209,1.2373,0.98431,0.97255,1
175.65,7.298,62.459,1.2358,1,0.95686,0.9098
