X,Y,Z,S,R,G,B
43.043,0.003195,-15.241,5.9722,1,0.84314,0.68235
264.54,0.21553,-110.09,1.5141,1,0.84314,0.68235
79.699,0.11596,18.858,3.0036,0.98431,0.97255,1
7.9593,0.017277,-41.184,5.5365,1,0.95686,0.9098
17.911,0.060837,33.937,4.1299,1,0.95686,0.9098
30.074,0.11795,9.1883,6.3021,1,0.84314,0.68235
30.478,0.20798,20.777,8.4456,1,0.73333,0.48235
248.35,1.9224,-251.36,0.54893,1,0.84314,0.68235
57.852,0.47491,108.89,2.6751,0.75294,0.81961,1
66.929,0.59542,272,1.4233,1,0.84314,0.68235
176.11,1.6681,39.545,2.6175,0.98431,0.97255,1
349.56,3.5019,233.1,0.86288,1,0.84314,0.68235
128.66,1.3873,222.55,1.8097,1,0.95686,0.9098
182.99,2.0789,239.24,1.1557,1,0.84314,0.68235
30.211,0.36161,-31.318,9.2368,1,0.73333,0.48235
94.158,1.1768,31.843,3.253,0.98431,0.97255,1
261.43,3.4198,142.2,0.8017,0.75294,0.81961,1
46.303,0.63037,1.7226,3.8403,1,0.95686,0.9098
209.26,3.0402,12.367,1.9526,0.98431,0.97255,1
117.37,1.7767,152.79,1.7158,1,0.84314,0.68235
30.262,0.49058,2.4815,9.628,1,0.73333,0.48235
195.73,3.3564,42.886,0.9405,0.75294,0.81961,1
115.59,2.0725,7.8954,2.5701,0.98431,0.97255,1
104.66,1.983,163.54,1.709,0.75294,0.81961,1
62.842,1.2176,-70.113,3.1406,0.98431,0.97255,1
104.78,2.136,124.32,1.3244,1,0.84314,0.68235
212.48,4.5504,-119.66,0.83392,0.66667,0.74902,1
245.86,5.6315,28.118,1.4019,1,0.84314,0.68235
117.73,2.9091,19.243,3.5562,0.98431,0.97255,1
32.018,0.80784,-62.441,3.9091,1,0.95686,0.9098
6.0373,0.15634,-14.822,7.4687,1,0.84314,0.68235
203.39,5.4086,-52.324,0.77803,1,0.84314,0.68235
60.15,1.6358,246.57,1.7575,1,0.84314,0.68235
24.967,0.69485,40.463,4.8342,1,0.95686,0.9098
27.812,0.8047,-71.778,4.558,0.98431,0.97255,1
160.16,4.7395,74.434,1.2741,1,0.84314,0.68235
17.613,0.53296,478.14,0.54073,1,0.84314,0.68235
16.789,0.51795,-19.374,3.6553,1,0.95686,0.9098
138.96,4.5297,385.53,0.19695,1,0.84314,0.68235
150.44,5.0541,4.8908,3.0908,0.98431,0.97255,1
109.64,3.7701,46.218,2.9114,0.98431,0.97255,1
61.145,2.1376,197.35,1.8442,0.75294,0.81961,1
403.31,14.349,-209.17,0.23211,1,0.84314,0.68235
136.15,4.9171,-27.997,2.5236,0.75294,0.81961,1
55.297,2.0489,-98.371,3.1072,0.98431,0.97255,1
75.33,2.811,63.586,1.7602,1,0.95686,0.9098
149.22,5.6433,-6.647,0.55713,0.66667,0.74902,1
60.409,2.3857,82.592,3.0995,0.98431,0.97255,1
213.85,8.6207,194.23,1.2754,1,0.95686,0.9098
193.33,7.9536,-300.19,1.1258,1,0.84314,0.68235
98.973,4.1238,36.579,3.8217,0.98431,0.97255,1
42.734,1.8247,151.3,1.4573,0.75294,0.81961,1
118.5,5.2076,-46.021,1.6871,1,0.84314,0.68235
94.101,4.1627,16.355,3.6777,1,0.95686,0.9098
147.88,6.631,146.6,2.1762,1,0.95686,0.9098
153.08,7.0356,39.397,2.9736,0.98431,0.97255,1
175.61,8.1732,62.459,1.2358,1,0.95686,0.9098
54.243,2.6018,-47.029,4.2882,1,0.95686,0.9098
170.28,8.2931,25.714,2.6371,0.98431,0.97255,1
17.089,0.84197,-88.039,3.1164,0.98431,0.97255,1
90.226,4.4902,190.65,1.4889,1,0.84314,0.68235
96.321,4.892,-20.124,3.4123,0.98431,0.97255,1
83.052,4.2631,128.87,0.81124,0.66667,0.74902,1
62.54,3.2584,14.251,4.4314,1,0.95686,0.9098
97.937,5.1561,-78.765,3.1818,1,0.95686,0.9098
215.13,11.367,267.73,0.47946,1,0.84314,0.68235
97.388,5.2255,126.84,2.8794,0.98431,0.97255,1
89.732,4.8968,105.39,2.5327,0.75294,0.81961,1
123.45,7.0017,82.401,2.8301,0.75294,0.81961,1
47.796,2.7181,8.7246,5.1741,1,0.95686,0.9098
84.189,4.9067,-35.48,3.1031,0.98431,0.97255,1
188.86,11.118,215.2,0.88413,1,0.84314,0.68235
100.98,5.9848,110.36,1.4839,1,0.84314,0.68235
40.627,2.4942,-24.321,5.2804,1,0.95686,0.9098
164.14,10.13,-39.816,2.0079,0.75294,0.81961,1
38.322,2.4002,39.895,2.9136,0.98431,0.97255,1
346.42,22.028,195.54,0.38837,1,0.84314,0.68235
141.42,9.046,100.3,1.4921,1,0.95686,0.9098
253.16,16.356,99.445,1.2133,1,0.95686,0.9098
214.24,13.933,76.118,2.0423,1,0.84314,0.68235
229.06,15.071,117.18,1.6642,1,0.84314,0.68235
96.447,6.4272,104.36,2.2148,0.75294,0.81961,1
149.06,10.025,195.82,1.6326,0.75294,0.81961,1
111.32,7.5244,33.221,3.63,0.98431,0.97255,1
40.575,2.7804,-7.8714,6.3337,1,0.84314,0.68235
41.312,2.8451,-8.2828,5.2319,1,0.95686,0.9098
136.24,9.4968,197.12,0.80068,1,0.84314,0.68235
21.928,1.5409,38.605,5.2719,1,0.95686,0.9098
74.451,5.5233,52.019,3.195,0.98431,0.97255,1
128.42,9.5893,-108.43,1.3689,1,0.84314,0.68235
162.71,12.276,-37.835,2.4099,0.75294,0.81961,1
152.62,11.734,-19.626,2.9879,0.98431,0.97255,1
251.59,19.682,202.6,0.49979,1,0.95686,0.9098
111.32,8.802,-68.285,0.075467,1,0.84314,0.68235
67.155,5.38,64.145,1.277,0.75294,0.81961,1
